ag,Comune,ISTAT_COMUNE,Sigla Provincia,Classificazione ex DGR 408-2003,Elaborazione DRPC,Nuova Classificazione sismica,PRO_COM_T
"0,1849",Alcara li Fusi,19083001,ME,2,2,2,083001
"0,244",Alì,19083002,ME,1,2,1,083002
"0,2512",Alì Terme,19083003,ME,1,1,1,083003
"0,2124",Antillo,19083004,ME,2,2,2,083004
"0,1901",Barcellona Pozzo di Gotto,19083005,ME,2,2,2,083005
"0,2017",Basicò,19083006,ME,2,2,2,083006
"0,177",Brolo,19083007,ME,2,2,2,083007
"0,1783",Capizzi,19083008,ME,2,2,2,083008
"0,1653",Capo d'Orlando,19083009,ME,2,2,2,083009
"0,173",Capri Leone,19083010,ME,2,2,2,083010
"0,1843",Caronia,19083011,ME,2,2,2,083011
"0,2322",Casalvecchio Siculo,19083012,ME,2,2,2,083012
"0,1823",Castel di Lucio,19083013,ME,2,2,2,083013
"0,1859",Castell'Umberto,19083014,ME,2,2,2,083014
"0,2202",Castelmola,19083015,ME,2,2,2,083015
"0,2032",Castroreale,19083016,ME,2,2,2,083016
"0,1835",Cesarò,19083017,ME,2,2,2,083017
"0,1705",Condrò,19083018,ME,2,2,2,083018
"0,1998",Falcone,19083019,ME,2,2,2,083019
"0,1861",Ficarra,19083020,ME,2,2,2,083020
"0,2357",Fiumedinisi,19083021,ME,1,2,1,083021
"0,1955",Floresta,19083022,ME,2,2,2,083022
"0,2064",Fondachelli-Fantina,19083023,ME,2,2,2,083023
"0,2359",Forza d'Agrò,19083024,ME,2,2,2,083024
"0,2061",Francavilla di Sicilia,19083025,ME,2,2,2,083025
"0,1789",Frazzanò,19083026,ME,2,2,2,083026
"0,2362",Furci Siculo,19083027,ME,1,2,1,083027
"0,199",Furnari,19083028,ME,2,2,2,083028
"0,2091",Gaggi,19083029,ME,2,2,2,083029
"0,1872",Galati Mamertino,19083030,ME,2,2,2,083030
"0,2291",Gallodoro,19083031,ME,2,2,2,083031
"0,2067",Giardini-Naxos,19083032,ME,2,2,2,083032
"0,195",Gioiosa Marea,19083033,ME,2,2,2,083033
"0,2101",Graniti,19083034,ME,2,2,2,083034
"0,1825",Gualtieri Sicaminò,19083035,ME,2,2,2,083035
"0,2448",Itala,19083036,ME,1,2,1,083036
"0,1741",Leni,19083037,ME,2,2,2,083037
"0,2269",Letojanni,19083038,ME,2,2,2,083038
"0,1995",Librizzi,19083039,ME,2,2,2,083039
"0,2192",Limina,19083040,ME,2,2,2,083040
"0,1903",Lipari,19083041,ME,2,2,2,083041
"0,185",Longi,19083042,ME,2,2,2,083042
"0,1649",Malfa,19083043,ME,2,2,2,083043
"0,1984",Malvagna,19083044,ME,2,2,2,083044
"0,2222",Mandanici,19083045,ME,1,2,1,083045
"0,2012",Mazzarrà Sant'Andrea,19083046,ME,2,2,2,083046
"0,1695",Merì,19083047,ME,2,2,2,083047
"0,2559",Messina,19083048,ME,1,1,1,083048
"0,1685",Milazzo,19083049,ME,2,2,2,083049
"0,1846",Militello Rosmarino,19083050,ME,2,2,2,083050
"0,1755",Mirto,19083051,ME,2,2,2,083051
"0,1835",Mistretta,19083052,ME,2,2,2,083052
"0,1972",Moio Alcantara,19083053,ME,2,2,2,083053
"0,2299",Monforte San Giorgio,19083054,ME,2,2,2,083054
"0,221",Mongiuffi Melia,19083055,ME,2,2,2,083055
"0,1981",Montagnareale,19083056,ME,2,2,2,083056
"0,2014",Montalbano Elicona,19083057,ME,2,2,2,083057
"0,2073",Motta Camastra,19083058,ME,2,2,2,083058
"0,1796",Motta d'Affermo,19083059,ME,2,2,2,083059
"0,1781",Naso,19083060,ME,2,2,2,083060
"0,247",Nizza di Sicilia,19083061,ME,1,2,1,083061
"0,2046",Novara di Sicilia,19083062,ME,2,2,2,083062
"0,1997",Oliveri,19083063,ME,2,2,2,083063
"0,1616",Pace del Mela,19083064,ME,2,2,2,083064
"0,2435",Pagliara,19083065,ME,1,2,1,083065
"0,2",Patti,19083066,ME,2,2,2,083066
"0,1832",Pettineo,19083067,ME,2,2,2,083067
"0,1877",Piraino,19083068,ME,2,2,2,083068
"0,1969",Raccuja,19083069,ME,2,2,2,083069
"0,1822",Reitano,19083070,ME,2,2,2,083070
"0,2206",Roccafiorita,19083071,ME,2,2,2,083071
"0,2398",Roccalumera,19083072,ME,1,2,1,083072
"0,1792",Roccavaldina,19083073,ME,2,2,2,083073
"0,2002",Roccella Valdemone,19083074,ME,2,2,2,083074
"0,2008",Rodì Milici,19083075,ME,2,2,2,083075
"0,2232",Rometta,19083076,ME,1,2,1,083076
"0,1617",San Filippo del Mela,19083077,ME,2,2,2,083077
"0,1845",San Fratello,19083078,ME,2,2,2,083078
"0,1808",San Marco d'Alunzio,19083079,ME,2,2,2,083079
"0,2094",San Pier Niceto,19083080,ME,2,2,2,083080
"0,2004",San Piero Patti,19083081,ME,2,2,2,083081
"0,1849",San Salvatore di Fitalia,19083082,ME,2,2,2,083082
"0,1978",Santa Domenica Vittoria,19083083,ME,2,2,2,083083
"0,1835",Sant'Agata di Militello,19083084,ME,2,2,2,083084
"0,2359",Sant'Alessio Siculo,19083085,ME,1,2,1,083085
"0,2044",Santa Lucia del Mela,19083086,ME,2,2,2,083086
"0,1752",Santa Marina Salina,19083087,ME,2,2,2,083087
