,comune,ag
0,Alcara li Fusi,0.1849
1,Alì,0.244
2,Alì Terme,0.2512
3,Antillo,0.2124
4,Barcellona Pozzo di Gotto,0.1901
5,Basicò,0.2017
6,Brolo,0.177
7,Capizzi,0.1783
8,Capo d'Orlando,0.1653
9,Capri Leone,0.173
10,Caronia,0.1843
11,Casalvecchio Siculo,0.2322
12,Castel di Lucio,0.1823
13,Castell'Umberto,0.1859
14,Castelmola,0.2202
15,Castroreale,0.2032
16,Cesarò,0.1835
17,Condrò,0.1705
18,Falcone,0.1998
19,Ficarra,0.1861
20,Fiumedinisi,0.2357
21,Floresta,0.1955
22,Fondachelli-Fantina,0.2064
23,Forza d'Agrò,0.2359
24,Francavilla di Sicilia,0.2061
25,Frazzanò,0.1789
26,Furci Siculo,0.2362
27,Furnari,0.199
28,Gaggi,0.2091
29,Galati Mamertino,0.1872
30,Gallodoro,0.2291
31,Giardini-Naxos,0.2067
32,Gioiosa Marea,0.195
33,Graniti,0.2101
34,Gualtieri Sicaminò,0.1825
35,Itala,0.2448
36,Leni,0.1741
37,Letojanni,0.2269
38,Librizzi,0.1995
39,Limina,0.2192
40,Lipari,0.1903
41,Longi,0.185
42,Malfa,0.1649
43,Malvagna,0.1984
44,Mandanici,0.2222
45,Mazzarrà Sant'Andrea,0.2012
46,Merì,0.1695
47,Messina,0.2559
48,Milazzo,0.1685
49,Militello Rosmarino,0.1846
50,Mirto,0.1755
51,Mistretta,0.1835
52,Moio Alcantara,0.1972
53,Monforte San Giorgio,0.2299
54,Mongiuffi Melia,0.221
55,Montagnareale,0.1981
56,Montalbano Elicona,0.2014
57,Motta Camastra,0.2073
58,Motta d'Affermo,0.1796
59,Naso,0.1781
60,Nizza di Sicilia,0.247
61,Novara di Sicilia,0.2046
62,Oliveri,0.1997
63,Pace del Mela,0.1616
64,Pagliara,0.2435
65,Patti,0.2
66,Pettineo,0.1832
67,Piraino,0.1877
68,Raccuja,0.1969
69,Reitano,0.1822
70,Roccafiorita,0.2206
71,Roccalumera,0.2398
72,Roccavaldina,0.1792
73,Roccella Valdemone,0.2002
74,Rodì Milici,0.2008
75,Rometta,0.2232
76,San Filippo del Mela,0.1617
77,San Fratello,0.1845
78,San Marco d'Alunzio,0.1808
79,San Pier Niceto,0.2094
80,San Piero Patti,0.2004
81,San Salvatore di Fitalia,0.1849
82,Santa Domenica Vittoria,0.1978
83,Sant'Agata di Militello,0.1835
84,Sant'Alessio Siculo,0.2359
